INDEX,PREPROCESSED,PRESENTABLE,PRESENTABLE_LOWER,PRESENTABLE_TITLE,ABBREVIATION
1,frontal_pole,Frontal Pole,frontal pole,Frontal pole,frontal pole
2,insular_cortex,Insular Cortex,insular cortex,Insular cortex,insula
3,superior_frontal_gyrus,Superior Frontal Gyrus,superior frontal gyrus,Superior frontal gyrus,SFG
4,middle_frontal_gyrus,Middle Frontal Gyrus,middle frontal gyrus,Middle frontal gyrus,MFG
5,inferior_frontal_gyrus_pars_triangularis,"IFG, Pars Triangularis","IFG, pars triangularis","IFG, pars triangularis",IFG (triangularis)
6,inferior_frontal_gyrus_pars_opercularis,"IFG, Pars Opercularis","IFG, pars opercularis","IFG, pars opercularis",IFG (opercularis)
7,precentral_gyrus,Precentral Gyrus,precentral gyrus,Precentral gyrus,precentral
8,temporal_pole,Temporal Pole,temporal pole,Temporal pole,temporal pole
9,superior_temporal_gyrus_anterior_division,Anterior STG,anterior STG,Anterior STG,STG (A)
10,superior_temporal_gyrus_posterior_division,Posterior STG,posterior STG,Posterior STG,STG (P)
11,middle_temporal_gyrus_anterior_division,Anterior MTG,anterior MTG,Anterior MTG,MTG (A)
12,middle_temporal_gyrus_posterior_division,Posterior MTG,posterior MTG,Posterior MTG,MTG (P)
13,middle_temporal_gyrus_temporooccipital_part,Temporo-occipital MTG,temporo-occipital MTG,Temporo-occipital MTG,MTG (TO)
14,inferior_temporal_gyrus_anterior_division,Anterior ITG,anterior ITG,Anterior ITG,ITG (A)
15,inferior_temporal_gyrus_posterior_division,Posterior ITG,posterior ITG,Posterior ITG,ITG (P)
16,inferior_temporal_gyrus_temporooccipital_part,Temporo-occipital ITG,temporo-occipital ITG,Temporo-occipital ITG,ITG (TO)
17,postcentral_gyrus,Postcentral Gyrus,postcentral gyrus,Postcentral gyrus,postcentral
18,superior_parietal_lobule,Superior Parietal Lobule,superior parietal lobule,Superior parietal lobule,SPL
19,supramarginal_gyrus_anterior_division,Anterior SMG,anterior SMG,Anterior SMG,SMG (A)
20,supramarginal_gyrus_posterior_division,Posterior SMG,posterior SMG,Posterior SMG,SMG (P)
21,angular_gyrus,Angular Gyrus,angular gyrus,Angular gyrus,angular
22,lateral_occipital_cortex_superior_division,Superolateral Occipital Cortex,superolateral occipital cortex,Superolateral occipital cortex,lateral occipital (S)
23,lateral_occipital_cortex_inferior_division,Inferolateral Occipital Cortex,inferolateral occipital cortex,Inferolateral occipital cortex,lateral occipital (I)
24,intracalcarine_cortex,Intracalcarine Cortex,intracalcarine cortex,Intracalcarine cortex,intracalcarine
25,frontal_medial_cortex,Frontal Medial Cortex,frontal medial cortex,Frontal medial cortex,frontal medial
26,supplementary_motor_cortex,Supplementary Motor Cortex,supplementary motor cortex,Supplementary motor cortex,SMA
27,subcallosal_cortex,Subcallosal Cortex,subcallosal cortex,Subcallosal cortex,subcallosal
28,paracingulate_gyrus,Paracingulate Gyrus,paracingulate gyrus,Paracingulate gyrus,paracingulate
29,cingulate_gyrus_anterior_division,Anterior Cingulate,anterior cingulate,Anterior cingulate,cingulate (A)
30,cingulate_gyrus_posterior_division,Posterior Cingulate,posterior cingulate,Posterior cingulate,cingulate (P)
31,precuneous_cortex,Precuneous,precuneous,Precuneous,precuneous
32,cuneal_cortex,Cuneal Cortex,cuneal cortex,Cuneal cortex,cuneal
33,frontal_orbital_cortex,Frontal Orbital Cortex,frontal orbital cortex,Frontal orbital cortex,frontal orbital
34,parahippocampal_gyrus_anterior_division,Anterior Parahippocampus,anterior parahippocampus,Anterior parahippocampus,parahippocampus (A)
35,parahippocampal_gyrus_posterior_division,Posterior Parahippocampus,posterior parahippocampus,Posterior parahippocampus,parahippocamus (P)
36,lingual_gyrus,Lingual Gyrus,lingual gyrus,Lingual gyrus,lingual
37,temporal_fusiform_cortex_anterior_division,Anterior Temporal Fusiform,anterior temporal fusiform,Anterior temporal fusiform,temporal fusiform (A)
38,temporal_fusiform_cortex_posterior_division,Posterior Temporal Fusiform,posterior temporal fusiform,Posterior temporal fusiform,temporal fusiform (P)
39,temporal_occipital_fusiform_cortex,Temporo-occipital Fusiform,temporo-occipital fusiform,Temporo-occipital fusiform,fusiform (TO)
40,occipital_fusiform_gyrus,Occipital Fusiform,occipital fusiform,Occipital fusiform,occipital fusiform
41,frontal_operculum_cortex,Frontal Operculum,frontal operculum,Frontal operculum,frontal operculum
42,central_opercular_cortex,Central Operculum,central operculum,Central operculum,central operculum
43,parietal_operculum_cortex,Parietal Operculum,parietal operculum,Parietal operculum,parietal operculum
44,planum_polare,Planum Polare,planum polare,Planum polare,planum polare
45,heschls_gyrus,Heschl's Gyrus,heschl's gyrus,Heschl's gyrus,heschl's gyrus
46,planum_temporale,Planum Temporale,planum temporale,Planum temporale,planum temporale
47,supracalcarine_cortex,Supracalcarine Cortex,supracalcarine cortex,Supracalcarine cortex,supracalcarine
48,occipital_pole,Occipital Pole,occipital pole,Occipital pole,occipital pole
49,thalamus,Thalamus,thalamus,Thalamus,thalamus
50,caudate,Caudate,caudate,Caudate,caudate
51,putamen,Putamen,putamen,Putamen,putamen
52,pallidum,Pallidum,pallidum,Pallidum,pallidum
53,hippocampus,Hippocampus,hippocampus,Hippocampus,hippocampus
54,amygdala,Amygdala,amygdala,Amygdala,amygdala
55,accumbens,Accumbens,accumbens,Accumbens,accumbens
56,brainstem,Brainstem,brainstem,Brainstem,brainstem
