INDEX,MODEL,PARAMS,ORGANIZATION,LABELS,COORD_PROB_THRES,ALPHA,BETA,TRAIN_PERPLEXITY,VAL_PERPLEXITY,PENALTY,C,INTERCEPT,MAX_ITER,TRAIN_MACRO_PRECISION,TRAIN_MICRO_PRECISION,TRAIN_MACRO_RECALL,TRAIN_MICRO_RECALL,TRAIN_MACRO_F1,TRAIN_MICRO_F1,TRAIN_LOGLOSS,VAL_MACRO_PRECISION,VAL_MICRO_PRECISION,VAL_MACRO_RECALL,VAL_MICRO_RECALL,VAL_MACRO_F1,VAL_MICRO_F1,VAL_LOGLOSS,EXTENSION
79,L-LDA,llda_cons_seeds_79_0,cons,seeds,0,9.713032894,5.241644076,65.3573773,273.0439658,l2,2.015074764,FALSE,191,0.534874132,0.611777747,0.349560611,0.482877823,0.349910757,0.539738553,439.7824844,0.36505561,0.539026828,0.302638517,0.431466263,0.28861995,0.479286032,472.1029773,csv
123,L-LDA,llda_cons_seeds_123_25,cons,seeds,25,7.383733626,2.17627368,58.94284657,304.6276944,l1,8.341522752,FALSE,100,0.372577825,0.575611422,0.080076106,0.154028896,0.105418057,0.243026022,319.8190709,0.179107807,0.430685593,0.056414449,0.115297542,0.069853825,0.181899356,324.379836,csv
59,L-LDA,llda_cons_seeds_59_50,cons,seeds,50,6.512317704,5.469002914,61.51241296,286.8467884,l1,9.964841488,FALSE,188,0.181456088,0.542678152,0.020503423,0.059887225,0.030764054,0.107870415,98.9847545,0.063433485,0.378735233,0.012745318,0.041369364,0.017842407,0.074591117,96.78829339,csv
40,L-LDA,llda_cons_seeds_syns_40_0,cons,seeds_syns,0,5.542263583,4.709795441,58.48332999,276.6412363,l2,0.491251077,FALSE,165,0.508518298,0.613406655,0.33101919,0.467496314,0.322977987,0.530603317,450.4086766,0.361059973,0.549924653,0.294878399,0.42616782,0.276127192,0.480200794,475.305673,csv
123,L-LDA,llda_cons_seeds_syns_123_25,cons,seeds_syns,25,7.383733626,2.17627368,57.59845186,284.0621001,l1,8.341522752,FALSE,100,0.368288603,0.578233628,0.079705866,0.153891839,0.104592198,0.243087942,313.3235261,0.213515467,0.430352798,0.056573039,0.11440815,0.070347638,0.180761369,315.8003757,csv
88,L-LDA,llda_cons_seeds_syns_88_50,cons,seeds_syns,50,3.413338898,1.183433415,51.39414398,332.2210504,l1,5.239554952,FALSE,148,0.165297312,0.546131244,0.020543411,0.060232895,0.03082204,0.108499377,99.14011638,0.067414033,0.367950481,0.01287517,0.040610293,0.018386472,0.073147389,97.82320548,csv
67,L-LDA,llda_kmeans_seeds_67_0,kmeans,seeds,0,8.381453786,4.281660464,62.58008763,304.3890657,l1,0.96565846,FALSE,90,0.512541775,0.607193564,0.345291897,0.478839718,0.342776717,0.535431832,442.7589005,0.377187007,0.541471472,0.303171242,0.432439446,0.288623335,0.480852241,471.396038,csv
122,L-LDA,llda_kmeans_seeds_122_25,kmeans,seeds,25,9.104016211,1.620958294,60.08318188,335.3349001,l2,9.250601569,FALSE,67,0.322217529,0.572330906,0.074576538,0.149026326,0.094678332,0.236477486,331.8734492,0.166215642,0.429896429,0.054042766,0.112427232,0.065011361,0.178240667,337.3376099,csv
174,L-LDA,llda_kmeans_seeds_174_50,kmeans,seeds,50,3.449727689,7.755292757,62.16581579,310.9553003,l1,6.966637708,TRUE,159,0.194956789,0.560051381,0.019028716,0.056516949,0.028682626,0.102672789,97.03758112,0.072124577,0.38996139,0.011967561,0.03833308,0.017218236,0.069804409,91.25031923,csv
81,L-LDA,llda_kmeans_seeds_syns_81_0,kmeans,seeds_syns,0,7.227143161,2.15179659,55.10398276,326.4830368,l1,0.520920843,FALSE,61,0.569386635,0.618929185,0.340483013,0.47352288,0.340646151,0.536549181,445.6175442,0.359860689,0.543269365,0.292974226,0.421820934,0.277273072,0.474903522,477.8960204,csv
165,L-LDA,llda_kmeans_seeds_syns_165_25,kmeans,seeds_syns,25,8.9289762,5.383478589,60.55314559,287.9115663,l1,5.513984535,FALSE,170,0.377778971,0.577322574,0.083078233,0.159339844,0.108083667,0.249749373,316.6206487,0.195394888,0.423775614,0.057685478,0.117884864,0.069823126,0.184457728,325.4771006,csv
33,L-LDA,llda_kmeans_seeds_syns_33_50,kmeans,seeds_syns,50,4.298222709,5.621618864,55.45095078,308.9748383,l1,7.811095928,FALSE,200,0.200432074,0.548117155,0.022066481,0.062263703,0.033449397,0.111824619,102.063514,0.070395347,0.364319891,0.012928996,0.040458479,0.018395782,0.072829132,100.1215886,csv
2,LDA,lda_2_0,NA,NA,0,6.84081918,9.977278505,36.65122541,100.0120688,l2,0.236161471,TRUE,58,0.466542519,0.603003932,0.278175594,0.417582888,0.237866132,0.493449687,487.1566568,0.279011165,0.574117502,0.26530911,0.402378893,0.220133679,0.47314617,493.44737,csv
64,LDA,lda_64_25,NA,NA,25,0.432085412,8.747170962,25.50992066,172.3008615,l1,9.521567836,TRUE,155,0.350499777,0.58408962,0.071758311,0.141134144,0.094164775,0.2273367,321.3478252,0.149719248,0.437046803,0.051556929,0.10721216,0.063262986,0.17218543,324.1229929,csv
197,LDA,lda_197_50,NA,NA,50,0.304058579,3.485021506,24.41285062,196.3566412,l1,9.485621714,TRUE,105,0.144038025,0.55363806,0.017840392,0.051288699,0.028069781,0.093880376,89.55971474,0.064099897,0.36400986,0.010720294,0.033626841,0.01613823,0.061566257,87.51389457,csv
36,BoE,bags_cons_seeds_0,cons,seeds,0,NA,NA,NA,NA,l1,1.4222339,FALSE,184,0.504080399,0.603731947,0.349230415,0.470347461,0.361959409,0.528757532,446.5933684,0.506875965,0.59288768,0.340163138,0.461872837,0.350702115,0.519243393,447.3867893,csv
5,BoE,bags_cons_seeds_25,cons,seeds,25,NA,NA,NA,NA,l2,1.205920632,FALSE,161,0.313111513,0.533623311,0.084311455,0.158334761,0.109149392,0.244208783,315.9110612,0.361905648,0.515290314,0.082886973,0.154632924,0.107515416,0.237880531,309.7492682,csv
58,BoE,bags_cons_seeds_50,cons,seeds,50,NA,NA,NA,NA,l2,0.881094567,FALSE,135,0.190942372,0.480532282,0.023125525,0.063192689,0.033772212,0.111696643,102.0315856,0.173862937,0.434684685,0.021884509,0.058600273,0.032250399,0.103277592,97.30687918,csv
149,BoE,bags_cons_seeds_syns_0,cons,seeds_syns,0,NA,NA,NA,NA,l1,0.040689276,FALSE,134,0.535502541,0.609390401,0.377299987,0.499330042,0.390135131,0.54889749,427.6138862,0.511135491,0.599276262,0.368410552,0.490657439,0.37970536,0.539554573,429.2787998,csv
192,BoE,bags_cons_seeds_syns_25,cons,seeds_syns,25,NA,NA,NA,NA,l1,8.646563884,FALSE,113,0.357803024,0.53742012,0.10755019,0.186340015,0.141952576,0.276729453,314.3482927,0.331066137,0.5148966,0.10191778,0.178161384,0.133939862,0.264724433,310.3376897,csv
12,BoE,bags_cons_seeds_syns_50,cons,seeds_syns,50,NA,NA,NA,NA,l2,6.011422886,FALSE,115,0.212434359,0.476816963,0.032849465,0.080648994,0.048583433,0.137962895,111.4944676,0.183158823,0.435771632,0.029205781,0.074161227,0.042609184,0.126751427,105.1352384,csv
67,BoE,bags_kmeans_seeds_0,kmeans,seeds,0,NA,NA,NA,NA,l1,0.96565846,FALSE,90,0.513495483,0.604819596,0.353589305,0.474654773,0.367049435,0.531889439,443.5066573,0.515560765,0.59812282,0.345990284,0.467192907,0.358516865,0.52461206,443.6189894,csv
5,BoE,bags_kmeans_seeds_25,kmeans,seeds,25,NA,NA,NA,NA,l2,1.205920632,FALSE,161,0.332115611,0.534573454,0.085424394,0.160173605,0.110557914,0.246491313,314.7117883,0.320343901,0.520102883,0.082977976,0.155320181,0.107062154,0.239205554,309.5399376,csv
108,BoE,bags_kmeans_seeds_50,kmeans,seeds,50,NA,NA,NA,NA,l2,0.418671077,FALSE,53,0.180480465,0.486579378,0.023370023,0.064229697,0.034120539,0.113479779,102.6497972,0.170107926,0.455718475,0.021843763,0.058979809,0.031922813,0.104442503,100.7430866,csv
149,BoE,bags_kmeans_seeds_syns_0,kmeans,seeds_syns,0,NA,NA,NA,NA,l1,0.040689276,FALSE,134,0.540361118,0.614647052,0.370988864,0.491828956,0.387442253,0.54642164,432.1604568,0.518007116,0.604650537,0.364243111,0.485878028,0.377976799,0.53879636,431.2205508,csv
83,BoE,bags_kmeans_seeds_syns_25,kmeans,seeds_syns,25,NA,NA,NA,NA,l2,8.281007495,FALSE,159,0.362702598,0.541616526,0.105698441,0.185060819,0.140203922,0.27586383,309.1713856,0.328663204,0.522566996,0.101652372,0.179738034,0.133084905,0.267476838,308.4694331,csv
62,BoE,bags_kmeans_seeds_syns_50,kmeans,seeds_syns,50,NA,NA,NA,NA,l2,4.028031607,FALSE,83,0.217048553,0.488056897,0.031586116,0.078574978,0.047100563,0.135357934,109.2194035,0.160818389,0.461538462,0.029295379,0.074237134,0.04300311,0.127901654,106.9875421,csv
159,BoW,tokens_ontol_0,NA,ontol,0,NA,NA,NA,NA,l2,0.090989672,TRUE,200,0.705953678,0.708024523,0.449669369,0.554682672,0.504346468,0.62204276,383.2845383,0.545117576,0.618522086,0.382678634,0.486029412,0.420249873,0.544329398,427.3702109,csv.gz
25,BoW,tokens_ontol_25,NA,ontol,25,NA,NA,NA,NA,l2,7.739521413,TRUE,184,0.729674917,0.701162391,0.365633217,0.418879561,0.47533439,0.524449275,235.1512476,0.311957825,0.420890937,0.199246393,0.276924321,0.239570958,0.334056716,285.1170831,csv.gz
105,BoW,tokens_ontol_50,NA,ontol,50,NA,NA,NA,NA,l2,6.920780509,TRUE,194,0.800529577,0.725424046,0.3721462,0.334478363,0.490943205,0.457850922,121.4144679,0.194099073,0.311083642,0.107618827,0.171929558,0.136340478,0.221461745,151.8995496,csv.gz
