"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10022492","0","0","3","2","0","0","1","0","0","0","1","0","0","1","1","1","0","1","1","0","0","1","0","0","3","2","3","3","0","1","0","1","0","0","0","1","0","0","0","0","0"
"10022494","0","0","1","0","0","0","0","0","0","0","1","0","0","2","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1"
"10022496","0","0","0","0","0","0","1","0","0","1","1","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","1","2","0","0","1","0","0","0","1","1"
"10027301","2","0","1","0","0","0","0","0","0","0","1","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","1","0","0","1","0","0","0","0","0"
"10051756","0","0","1","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","2","1","1","1","2","0","0","0","1","0","0","0","0","0","0","0","0"
"10071054","0","0","1","2","0","0","1","0","0","0","0","0","0","0","2","1","1","3","2","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0"
"10071093","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0"
"10075897","0","0","0","0","0","1","2","2","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0"
"10094257","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0","0","0","1"
"10096413","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","1","1","2","1","3","0","1","0","0","0","0","1","1"
