"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10022492","2","1","9","9","4","1","1","1","0","1","3","1","0","2","2","1","0","5","1","0","4","2","0","1","9","5","7","6","7","2","0","2","0","0","2","1","1","2","0","0","0"
"10022494","0","1","1","1","0","0","0","0","0","0","1","0","0","2","1","1","1","0","0","0","1","1","0","0","1","0","0","0","2","0","0","1","0","0","3","2","3","2","0","0","2"
"10022496","1","1","2","2","1","1","1","1","0","2","2","1","0","0","3","3","0","2","0","0","0","0","1","0","0","0","0","0","2","2","0","1","3","0","0","1","0","0","0","2","1"
"10027301","4","0","2","0","0","0","0","0","0","0","2","0","0","2","6","7","0","0","0","0","0","0","1","0","1","1","1","2","1","5","3","0","1","0","1","2","1","0","1","0","1"
"10051756","0","0","5","6","2","0","0","0","0","0","2","0","1","4","0","0","0","4","0","0","5","0","0","0","7","2","4","2","9","1","0","1","1","0","0","0","2","0","1","0","0"
"10071054","0","0","5","8","3","0","2","1","0","0","0","0","0","1","3","1","1","10","2","0","1","0","0","0","2","1","1","1","5","1","0","0","0","0","2","0","1","0","0","0","2"
"10071093","1","0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","0","0","9","0","0","0","0","0","1","1","1","1","0","2","4","7","6","1","2","0","0","1","0","1","0"
"10075897","0","0","0","0","0","1","2","3","1","0","0","0","0","5","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","0","1","1","3","1","1","0","1"
"10094257","1","1","1","1","0","1","0","2","0","1","1","1","2","2","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","1","5","1","1","1","1"
"10096413","1","0","2","3","1","0","0","0","0","0","0","0","0","0","1","2","0","3","10","0","1","0","1","0","2","1","2","1","4","4","6","6","8","0","4","2","1","1","0","1","1"
"10097801","4","2","6","6","0","3","3","3","2","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","2","1","0","7","0","2","4","4","4","5"
"10191322","0","0","0","0","0","0","0","1","0","0","1","0","0","1","2","4","1","0","11","0","0","0","0","0","1","1","1","1","0","4","4","7","8","0","2","0","1","0","0","1","1"
"10195113","0","0","2","1","0","0","0","1","0","0","2","0","0","5","2","3","0","0","0","0","1","0","1","0","1","1","0","0","1","3","0","0","1","0","1","0","2","1","1","1","1"
"10195166","1","0","4","6","2","0","1","0","0","0","0","0","0","2","3","3","0","5","3","0","1","0","1","0","0","0","0","0","5","1","1","0","1","2","0","0","0","0","1","1","3"
"10195173","0","0","0","0","0","1","0","2","0","1","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","1","1","0","1","0","3","1","0","0","1"
"10195224","2","0","9","8","3","2","1","3","1","3","1","1","0","0","0","0","0","8","0","0","1","0","0","0","1","0","0","0","7","2","1","1","1","0","0","0","0","0","5","2","6"
"10196461","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0","1","0","0","0","0","0","0"
"10197540","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","2","0","0","0","0","0","0","0","0","0","1","1","1","1","2","1","0","0","0","0","0","0","0"
"10198130","0","0","3","1","0","1","1","3","1","0","2","0","0","10","4","3","1","0","0","0","2","0","2","0","2","0","0","0","4","8","0","0","2","0","3","2","9","2","2","0","3"
"10200226","2","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","1"
"10200303","3","1","4","1","0","2","2","2","2","3","6","0","1","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","3","1","1","0","1","0","4","0","1","2","1","0","1"
"10202575","5","3","4","0","0","1","0","1","0","2","2","1","0","0","1","1","1","0","0","0","0","2","1","0","1","1","1","1","0","1","0","0","1","0","0","2","1","0","1","3","1"
"10204547","10","3","8","7","0","0","0","1","0","6","1","1","0","1","3","5","2","0","1","0","1","0","1","0","1","0","1","0","4","6","5","4","7","0","1","0","1","0","7","4","6"
"10208571","1","0","2","0","0","1","0","2","0","3","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1"
"10215087","1","0","3","4","0","2","0","2","3","2","3","2","1","1","0","0","0","1","0","1","6","0","0","0","4","1","1","0","5","0","0","2","0","1","3","0","1","1","1","0","0"
