"PMID","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"10022492","0","8","1","0","4","0","2","0","1","0","0","0","1","0","0","2","0","0","0","0","1","0","6","4","0","0","0","4","1","0","1","0","0","1","0","0","0","0","4","1","10"
"10022494","0","2","2","1","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2"
"10022496","0","0","1","1","0","0","2","0","1","1","2","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","1","0","4"
"10027301","0","3","1","1","2","0","2","1","0","1","1","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","1","2","0","0","0","1","0","1","6","0","0","0","0","4"
"10051756","0","6","0","0","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","1","0","3","3","0","0","0","3","0","1","0","0","2","0","1","0","0","0","4","0","6"
"10071054","0","1","0","2","0","0","2","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","8","0","1","0","0","1","3","0","1","0","1","1","0","1","0","0","7","0","6"
"10071093","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","3","0","0","1","0","0","0","4","2","0","0","0","0","11","0","0","0","0","0","1","3"
"10075897","0","0","0","0","0","0","2","1","1","1","0","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","1","4","1","2","1","0","0","0","0","2"
"10094257","0","0","1","5","0","1","0","0","1","0","2","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","1","0","2","2","0","0","0","0","1","0","2"
"10096413","0","2","0","3","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","3","1","1","1","0","6","2","0","0","0","0","12","0","1","0","0","2","0","7"
"10097801","1","0","4","0","1","2","1","1","2","2","0","1","2","0","2","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","1","0","0","2","1","4","0","4","4"
"10191322","0","1","0","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","4","6","0","0","0","0","14","1","0","0","0","0","0","4"
"10195113","0","3","0","0","0","0","0","2","0","1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","4","1","2","1","0","0","0","0","4"
"10195166","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","5","2","3","0","0","0","1","0","0","1","1","4","0","1","0","0","4","1","7"
"10195173","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","2"
"10195224","0","1","3","0","0","0","0","0","2","1","0","1","1","0","2","0","0","0","0","0","0","0","6","0","0","1","0","1","0","0","0","0","0","0","0","1","0","4","6","0","7"
